threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
0.05,0.2095,0.20934186837367474,1.0,0.34620792324869737,0.9066745880246301,0.7643325673585024
0.060000000000000005,0.3762,0.24990949680222035,0.9894887720974678,0.39903660886319847,0.9066745880246301,0.7643325673585024
0.07,0.4578,0.2761866343955896,0.9813664596273292,0.4310598111227702,0.9066745880246301,0.7643325673585024
0.08000000000000002,0.5125,0.29758440046565776,0.9770664118490205,0.4562186279977691,0.9066745880246301,0.7643325673585024
0.09000000000000001,0.5554,0.31688715953307395,0.9727663640707119,0.4780464897863348,0.9066745880246301,0.7643325673585024
0.1,0.5857,0.3320773263433814,0.9684663162924032,0.49457118457972427,0.9066745880246301,0.7643325673585024
0.11000000000000001,0.6093,0.344798083504449,0.9627329192546584,0.5077485195917854,0.9066745880246301,0.7643325673585024
0.12000000000000001,0.6314,0.3578440121363555,0.957955088389871,0.521049896049896,0.9066745880246301,0.7643325673585024
0.13,0.6483,0.3684891023272996,0.9531772575250836,0.5315039296656454,0.9066745880246301,0.7643325673585024
0.14,0.6625,0.3780905287181438,0.9498327759197325,0.5408787920010882,0.9066745880246301,0.7643325673585024
0.15000000000000002,0.6763,0.3880187940485513,0.94696607740086,0.5504791001249827,0.9066745880246301,0.7643325673585024
0.16000000000000003,0.6865,0.3958,0.9455327281414238,0.5580149443112928,0.9066745880246301,0.7643325673585024
0.17000000000000004,0.696,0.40307062436028657,0.9407548972766364,0.5643450845514474,0.9066745880246301,0.7643325673585024
0.18000000000000005,0.7053,0.41044463087248323,0.9350215002388915,0.570470776854686,0.9066745880246301,0.7643325673585024
0.19,0.714,0.4178272980501393,0.9316770186335404,0.5769230769230769,0.9066745880246301,0.7643325673585024
0.2,0.7221,0.42487954445904513,0.926899187768753,0.5826700705811684,0.9066745880246301,0.7643325673585024
0.21000000000000002,0.73,0.43208771537256657,0.9225991399904443,0.5885400792441329,0.9066745880246301,0.7643325673585024
0.22000000000000003,0.7356,0.4374290256643198,0.9202102245580507,0.5929802955665024,0.9066745880246301,0.7643325673585024
0.23000000000000004,0.7417,0.4433918669131238,0.9168657429526995,0.5977262108705809,0.9066745880246301,0.7643325673585024
0.24000000000000005,0.7472,0.4488836662749706,0.9125656951743908,0.6017643352236925,0.9066745880246301,0.7643325673585024
0.25000000000000006,0.7512,0.4528752087807206,0.906832298136646,0.6040738383195416,0.9066745880246301,0.7643325673585024
0.26000000000000006,0.7559,0.4578692493946731,0.9034878165312948,0.60774546038888,0.9066745880246301,0.7643325673585024
0.27,0.7611,0.4635467980295567,0.8991877687529861,0.6117341134405981,0.9066745880246301,0.7643325673585024
0.28,0.766,0.46916354556803996,0.89775441949355,0.6162676287307314,0.9066745880246301,0.7643325673585024
0.29000000000000004,0.7709,0.4749367088607595,0.8963210702341137,0.6208836670527883,0.9066745880246301,0.7643325673585024
0.30000000000000004,0.7745,0.4791452111225541,0.8891543239369326,0.6227204283085159,0.9066745880246301,0.7643325673585024
0.31000000000000005,0.7788,0.4844281601674954,0.8843764930721453,0.6259722691917484,0.9066745880246301,0.7643325673585024
0.32000000000000006,0.7828,0.4895086321381142,0.8805542283803154,0.6292249914646637,0.9066745880246301,0.7643325673585024
0.33,0.7875,0.49568733153638816,0.8786430960344004,0.633810098225056,0.9066745880246301,0.7643325673585024
0.34,0.7907,0.5,0.8743430482560918,0.6361898140100817,0.9066745880246301,0.7643325673585024
0.35000000000000003,0.7942,0.504857063558146,0.8690874343048256,0.6386938202247191,0.9066745880246301,0.7643325673585024
0.36000000000000004,0.7974,0.509423347398031,0.8652651696129957,0.6412889518413598,0.9066745880246301,0.7643325673585024
0.37000000000000005,0.7997,0.5127913587265491,0.8619206880076445,0.6430226341115666,0.9066745880246301,0.7643325673585024
0.38000000000000006,0.8034,0.518336702281259,0.8576206402293359,0.6461483081353492,0.9066745880246301,0.7643325673585024
0.39000000000000007,0.8066,0.523225241016652,0.8557095078834209,0.6493836113125453,0.9066745880246301,0.7643325673585024
0.4000000000000001,0.8094,0.5276218611521418,0.8533205924510272,0.6520627966411099,0.9066745880246301,0.7643325673585024
0.4100000000000001,0.8117,0.5314559616536848,0.8475871954132824,0.653286687534524,0.9066745880246301,0.7643325673585024
0.42000000000000004,0.8144,0.5359199757502273,0.84472049689441,0.655786350148368,0.9066745880246301,0.7643325673585024
0.43000000000000005,0.8168,0.5399938706711616,0.8418537983755375,0.6579536967886482,0.9066745880246301,0.7643325673585024
0.44000000000000006,0.8185,0.5430074257425742,0.8385093167701864,0.6591549295774648,0.9066745880246301,0.7643325673585024
0.45000000000000007,0.8227,0.5502828409805154,0.8365981844242714,0.6638862559241706,0.9066745880246301,0.7643325673585024
0.4600000000000001,0.8258,0.5558383709831372,0.8346870520783565,0.6673032849503437,0.9066745880246301,0.7643325673585024
0.4700000000000001,0.8283,0.5604890604890604,0.8322981366459627,0.6698711786194963,0.9066745880246301,0.7643325673585024
0.4800000000000001,0.8303,0.5643693107932379,0.8294314381270903,0.6716966531243954,0.9066745880246301,0.7643325673585024
0.49000000000000005,0.8322,0.5681892868879396,0.8260869565217391,0.6732866043613707,0.9066745880246301,0.7643325673585024
0.5000000000000001,0.8341,0.5723333333333334,0.8203535594839942,0.6742587865698016,0.9066745880246301,0.7643325673585024
0.5100000000000001,0.8359,0.576043068640646,0.8179646440516005,0.6760118460019743,0.9066745880246301,0.7643325673585024
0.5200000000000001,0.838,0.5804695474651242,0.8150979455327282,0.678060413354531,0.9066745880246301,0.7643325673585024
0.5300000000000001,0.8405,0.585802894555479,0.8122312470138557,0.6806806806806807,0.9066745880246301,0.7643325673585024
0.5400000000000001,0.8416,0.5890171388597412,0.8045867176301958,0.6801292407108239,0.9066745880246301,0.7643325673585024
0.5500000000000002,0.8439,0.5942593905031892,0.8012422360248447,0.6824008138351983,0.9066745880246301,0.7643325673585024
0.5600000000000002,0.8448,0.5969186671443927,0.7959866220735786,0.6822276822276823,0.9066745880246301,0.7643325673585024
0.5700000000000002,0.8466,0.6015256084271704,0.7912087912087912,0.6834502682624846,0.9066745880246301,0.7643325673585024
0.5800000000000002,0.8485,0.6065634218289085,0.7859531772575251,0.6847034339229969,0.9066745880246301,0.7643325673585024
0.5900000000000002,0.8506,0.6117954460619635,0.7830864787386527,0.6869237217099748,0.9066745880246301,0.7643325673585024
0.6000000000000002,0.8524,0.6164590411476029,0.7802197802197802,0.6887389287220582,0.9066745880246301,0.7643325673585024
0.6100000000000001,0.8538,0.6208349291459211,0.7744863831820353,0.6892006802721088,0.9066745880246301,0.7643325673585024
0.6200000000000001,0.8558,0.6259187620889749,0.7730530339225992,0.6917486105173151,0.9066745880246301,0.7643325673585024
0.6300000000000001,0.8562,0.6282804543674109,0.7663640707118968,0.6904864399483427,0.9066745880246301,0.7643325673585024
0.6400000000000001,0.8583,0.634020618556701,0.7639751552795031,0.6929577464788732,0.9066745880246301,0.7643325673585024
0.6500000000000001,0.8585,0.6358173076923077,0.7582417582417582,0.6916539551100458,0.9066745880246301,0.7643325673585024
0.6600000000000001,0.8609,0.6429153094462541,0.7544194935499283,0.6942185095625412,0.9066745880246301,0.7643325673585024
0.6700000000000002,0.8616,0.645944833264718,0.749641662685141,0.6939407341884122,0.9066745880246301,0.7643325673585024
0.6800000000000002,0.8628,0.6517894736842105,0.7396082178690875,0.6929274843330349,0.9066745880246301,0.7643325673585024
0.6900000000000002,0.8641,0.6575107296137339,0.7319636884854276,0.6927424824779561,0.9066745880246301,0.7643325673585024
0.7000000000000002,0.8654,0.6627450980392157,0.7267080745341615,0.6932543299908842,0.9066745880246301,0.7643325673585024
0.7100000000000002,0.8656,0.6657813191677734,0.7185857620640229,0.6911764705882353,0.9066745880246301,0.7643325673585024
0.7200000000000002,0.8669,0.6722423146473779,0.7104634495938844,0.6908246225319397,0.9066745880246301,0.7643325673585024
0.7300000000000002,0.8683,0.6788018433179723,0.7037744863831821,0.6910626319493315,0.9066745880246301,0.7643325673585024
0.7400000000000002,0.8695,0.6848030018761726,0.6975633062589585,0.6911242603550296,0.9066745880246301,0.7643325673585024
0.7500000000000002,0.8705,0.6905444126074498,0.6908743430482561,0.690709338428469,0.9066745880246301,0.7643325673585024
0.7600000000000002,0.8725,0.6987366375121478,0.6870520783564262,0.6928450975668513,0.9066745880246301,0.7643325673585024
0.7700000000000002,0.8743,0.7075471698113207,0.6808408982322026,0.6939371804236669,0.9066745880246301,0.7643325673585024
0.7800000000000001,0.8745,0.7126903553299493,0.6708074534161491,0.6911149396997293,0.9066745880246301,0.7643325673585024
0.7900000000000001,0.8746,0.7197485594552121,0.6564739608217869,0.6866566716641679,0.9066745880246301,0.7643325673585024
0.8000000000000002,0.875,0.7257632565613283,0.6473960821786908,0.6843434343434344,0.9066745880246301,0.7643325673585024
0.8100000000000002,0.875,0.7312122874382886,0.6368848542761586,0.6807967313585291,0.9066745880246301,0.7643325673585024
0.8200000000000002,0.875,0.736399326977005,0.6273291925465838,0.6775025799793601,0.9066745880246301,0.7643325673585024
0.8300000000000002,0.8749,0.7453379953379954,0.6110845676063067,0.67156734050932,0.9066745880246301,0.7643325673585024
0.8400000000000002,0.8754,0.7531380753138075,0.6020066889632107,0.6691449814126395,0.9066745880246301,0.7643325673585024
0.8500000000000002,0.8764,0.7669781931464175,0.5881509794553272,0.6657652785289345,0.9066745880246301,0.7643325673585024
0.8600000000000002,0.877,0.7811074918566775,0.5728619206880077,0.6609702315325248,0.9066745880246301,0.7643325673585024
0.8700000000000002,0.8775,0.796043656207367,0.557572861920688,0.6558021916268615,0.9066745880246301,0.7643325673585024
0.8800000000000002,0.8759,0.809593023255814,0.5322503583373148,0.6422600172960508,0.9066745880246301,0.7643325673585024
0.8900000000000002,0.875,0.8311076197957581,0.5054945054945055,0.6286393345216874,0.9066745880246301,0.7643325673585024
0.9000000000000002,0.8719,0.8446519524617997,0.47539417104634496,0.6083766432283705,0.9066745880246301,0.7643325673585024
0.9100000000000003,0.8672,0.8702807357212003,0.42952699474438605,0.5751759436980166,0.9066745880246301,0.7643325673585024
0.9200000000000003,0.8597,0.8859060402684564,0.378404204491161,0.5302979578172079,0.9066745880246301,0.7643325673585024
0.9300000000000002,0.846,0.9060205580029369,0.29479216435738176,0.444844989185292,0.9066745880246301,0.7643325673585024
0.9400000000000002,0.8276,0.944578313253012,0.18729096989966554,0.31259968102073366,0.9066745880246301,0.7643325673585024
0.9500000000000002,0.7908,1.0,0.00047778308647873863,0.0009551098376313276,0.9066745880246301,0.7643325673585024
